name,team,position,ovr,spd,str,agi,awr,acc,jmp,cod
Rico Scott,ALABAMA,WR,74,90,61,90,,91,90,89
Te'Derius Williams,ALABAMA,QB,74,86,61,89,,91,85,88
William Sanders,ALABAMA,LG,74,64,81,77,,81,78,54
Conor Talty,ALABAMA,K,73,55,55,66,,56,56,66
David Franks-Wilson,ALABAMA,LT,73,58,90,69,,68,71,60
Kaden Strayhorn,ALABAMA,C,73,72,86,70,,81,78,60
Luke Metz,ALABAMA,MIKE,73,84,76,80,,86,82,78
Mal Waldrep Jr.,ALABAMA,C,73,71,87,71,,77,79,58
Hakim Taylor,ALABAMA,MIKE,72,80,81,79,,89,84,73
Cayden Jones,ALABAMA,SAM,71,83,67,84,,90,86,78
Duke Johnson Ii,ALABAMA,MIKE,71,85,65,84,,88,87,79
Jaquan Sullivan,ALABAMA,RT,71,56,90,67,,66,69,59
Liam Mcchambers,ALABAMA,SS,71,88,71,87,,91,86,87
Matthew Duncan,ALABAMA,FS,71,88,71,86,,91,86,85
Brady Newton,ALABAMA,TE,70,78,78,81,,87,86,76
Chris Lucas Jr.,ALABAMA,LG,69,52,92,66,,65,63,51
Jordan Guyton,ALABAMA,WILL,69,81,78,83,,91,86,75
Kenneth Dumervil,ALABAMA,RG,68,63,80,77,,81,77,64
Colton Phares,APPALACHIAN STATE,MIKE,85,83,75,83,,88,84,82
Jaquari Lewis,APPALACHIAN STATE,HB,83,88,68,89,,92,82,88
Kanye Roberts,APPALACHIAN STATE,HB,80,90,72,87,,92,85,83
Ja'Cari Henderson,APPALACHIAN STATE,CB,79,92,49,93,,94,94,90
J'Marion Burnette,APPALACHIAN STATE,HB,77,85,79,81,,87,86,79
Derek Gladden,APPALACHIAN STATE,P,76,70,51,73,,72,81,70
Devon Manuel,APPALACHIAN STATE,LT,76,62,84,75,,74,73,60
Ja'Den Mcburrows,APPALACHIAN STATE,CB,76,92,71,91,,92,91,90
Treyaun Webb,APPALACHIAN STATE,HB,76,87,78,83,,88,87,81
Alex Mitchell,APPALACHIAN STATE,MIKE,75,77,76,77,,81,79,76
Caleb Sandstrom,APPALACHIAN STATE,REDG,75,79,76,74,,84,79,70
Kevin Henderson,APPALACHIAN STATE,WILL,75,85,70,84,,87,83,82
Samuel Mbake,APPALACHIAN STATE,WR,75,88,70,83,,89,85,79
Tyriq Poindexter,APPALACHIAN STATE,RT,75,54,87,60,,60,58,53
Cayden Sweatt,APPALACHIAN STATE,LG,74,62,85,63,,72,73,54
James London,APPALACHIAN STATE,K,74,69,51,69,,65,59,63
Juan Berchal,APPALACHIAN STATE,CB,74,88,55,89,,92,87,88
Nick Campbell,APPALACHIAN STATE,DT,74,63,86,65,,73,73,48
Alex Sanchez,APPALACHIAN STATE,WR,73,87,62,86,,90,87,82
Dazmin James,APPALACHIAN STATE,WR,73,95,64,90,,92,93,88
Eric Adams,APPALACHIAN STATE,SS,73,87,59,85,,88,84,86
Joseph Reddish,APPALACHIAN STATE,CB,73,88,64,88,,89,87,75
Maximus Baldwin,APPALACHIAN STATE,HB,73,87,70,84,,90,81,84
Nate Branch,APPALACHIAN STATE,WR,73,88,65,82,,89,81,84
Carson Sloan,APPALACHIAN STATE,WILL,72,79,81,78,,84,79,74
Denard Dyson,APPALACHIAN STATE,WR,72,90,58,86,,91,89,86
Kaleb Purdy,APPALACHIAN STATE,FS,72,88,61,87,,89,86,87
Mac Walters,APPALACHIAN STATE,RT,72,62,82,64,,73,74,57
Malachi Singleton,APPALACHIAN STATE,QB,72,75,71,76,,82,75,76
Seth Franz,APPALACHIAN STATE,LEDG,72,71,82,72,,78,76,62
Tevin Claxton,APPALACHIAN STATE,DT,72,70,82,72,,83,77,64
Tom Bean,APPALACHIAN STATE,K,72,73,44,68,,77,61,68
Ahmad Robinson,APPALACHIAN STATE,CB,71,86,57,87,,88,85,83
Brett Bassey,APPALACHIAN STATE,WR,71,90,56,87,,91,88,88
Dre Walker,APPALACHIAN STATE,CB,71,88,63,87,,90,86,86
Jakob Guide,APPALACHIAN STATE,FS,71,85,63,83,,86,84,82
Lance Williams,APPALACHIAN STATE,RG,71,57,86,59,,68,71,56
Tommy Ulatowski,APPALACHIAN STATE,QB,71,79,55,78,,81,78,75
Trent Ramsey,APPALACHIAN STATE,RG,71,63,84,69,,74,71,56
Von Smart,APPALACHIAN STATE,C,71,57,83,70,,71,72,62
Bradley Trent,APPALACHIAN STATE,C,70,61,80,75,,77,72,64
Cary Grant,APPALACHIAN STATE,FS,70,86,60,85,,88,87,83
Darius Rowe,APPALACHIAN STATE,REDG,70,73,79,74,,81,79,63
Kai Drake,APPALACHIAN STATE,WR,70,90,60,87,,91,88,88
Ki'Shawn Harvey,APPALACHIAN STATE,DT,70,58,85,65,,66,64,47
Zhaire Whitehead,APPALACHIAN STATE,DT,70,73,77,74,,84,77,68
Edward Coleman,APPALACHIAN STATE,WR,69,88,61,86,,91,85,85
Henry Hasselbeck,APPALACHIAN STATE,QB,69,85,52,87,,86,78,87
Jeremiah Edwards,APPALACHIAN STATE,CB,69,89,48,90,,92,88,88
Cameren Fleming,APPALACHIAN STATE,SS,68,85,67,83,,88,84,81
James Springs,APPALACHIAN STATE,LEDG,68,73,80,74,,81,78,68
John Villa,APPALACHIAN STATE,TE,68,76,66,79,,86,80,76
Markus Eason,APPALACHIAN STATE,LT,68,61,81,74,,76,75,55
Brooks Yurachek,APPALACHIAN STATE,WILL,67,75,71,75,,79,80,70
Harold Peterson,APPALACHIAN STATE,SS,67,86,66,84,,89,82,82
Hayden O'Dowd,APPALACHIAN STATE,TE,67,75,66,81,,85,80,76
Jackson Grier,APPALACHIAN STATE,WR,67,85,60,87,,86,81,83
Kaden Ellis,APPALACHIAN STATE,DT,67,66,71,60,,76,66,52
Khalil Conley,APPALACHIAN STATE,CB,67,90,52,92,,94,90,91
Sawyer Arnold,APPALACHIAN STATE,REDG,67,80,66,76,,82,75,72
Tiquan Harris,APPALACHIAN STATE,RT,67,61,82,75,,78,74,53
Noah Fifita,ARIZONA,QB,90,79,59,85,,85,79,85
Jay'Vidon Cole,ARIZONA,CB,88,88,56,91,,92,87,90
Taye Brown,ARIZONA,MIKE,87,84,79,85,,89,83,85
Tre Smith,ARIZONA,LEDG,85,80,83,78,,87,82,74
Tristan Bounds,ARIZONA,RT,84,71,85,75,,80,70,63
Kedrick Reescano,ARIZONA,HB,83,88,78,84,,92,85,83
Alexander Doost,ARIZONA,RG,82,57,92,53,,65,72,50
Malcolm Hartzog,ARIZONA,SS,82,91,56,93,,95,89,92
Quincy Craig,ARIZONA,HB,82,91,66,90,,93,87,89
Antwan Roberts,ARIZONA,HB,81,87,72,85,,90,83,85
Ler0Y Palu,ARIZONA,DT,80,69,85,67,,73,73,56
Michael Salgado-Medina,ARIZONA,K,80,71,48,63,,70,65,60
Tre Spivey,ARIZONA,WR,80,86,77,84,,88,90,82
Dj Jordan,ARIZONA,WR,79,93,54,92,,94,91,92
Giovanni Richardson,ARIZONA,WR,79,91,51,90,,94,87,89
Cole Rusk,ARIZONA,TE,78,77,72,81,,86,82,77
Daylen Austin,ARIZONA,FS,78,92,67,89,,93,93,86
Dwight Bootle,ARIZONA,CB,78,88,54,90,,91,85,89
Mays Pese,ARIZONA,DT,78,72,83,69,,79,72,57
Rodney Gallagher Iii,ARIZONA,WR,78,89,54,90,,92,87,89
Tyrese Boss,ARIZONA,CB,78,89,59,89,,93,85,87
Everett Roussaw Jr.,ARIZONA,SAM,77,80,75,79,,85,82,76
Zac Siulepa,ARIZONA,DT,77,51,88,49,,61,55,42
Chase Kennedy,ARIZONA,WILL,76,83,78,78,,85,82,74
Chris Hunter,ARIZONA,WR,76,88,62,85,,90,89,84
Cam Chapa,ARIZONA,FS,75,89,69,86,,87,87,84
Chase Ridley,ARIZONA,P,75,72,66,72,,68,75,72
Dominic Lolesid,ARIZONA,REDG,75,77,81,73,,82,77,67
Isaiah Mizell,ARIZONA,WR,75,92,44,90,,93,91,88
Jake Griffin,ARIZONA,LT,75,60,86,63,,74,72,56
Jordan Ross,ARIZONA,WR,75,91,50,89,,93,92,86
Lee Molette Iii,ARIZONA,SS,75,85,66,83,,89,85,82
Paul Clayton,ARIZONA,P,75,73,49,69,,71,74,69
Wesley Yarbrough,ARIZONA,HB,75,87,68,84,,86,87,82
Cornelius Warren Iii,ARIZONA,HB,74,90,55,92,,91,87,87
Ezra Funa,ARIZONA,DT,74,64,83,58,,69,68,51
Matai Tagoa'I,ARIZONA,SS,74,85,60,84,,91,85,79
Nathan Hale,ARIZONA,LG,74,67,83,63,,76,71,55
Zach Henning,ARIZONA,C,74,56,86,67,,67,68,59
Isaac Perez,ARIZONA,RG,73,62,86,54,,67,64,49
Matthew Lado,ARIZONA,RT,73,67,83,74,,76,76,58
Myron Robinson,ARIZONA,MIKE,73,87,67,82,,89,87,78
Oscar Rids,ARIZONA,QB,73,84,53,86,,85,87,85
R.J. Mosley,ARIZONA,WR,73,89,62,85,,90,82,83
Swayde Griffin,ARIZONA,CB,73,87,58,88,,91,88,86
Xaier Hiler,ARIZONA,CB,73,89,61,87,,85,92,83
Arthur Ban,ARIZONA,TE,72,80,70,81,,86,87,77
Grayson Stovall,ARIZONA,C,72,56,86,66,,68,68,60
Johno Price,ARIZONA,CB,72,87,58,87,,89,86,85
Rhino Tapa'Atoutai,ARIZONA,LT,72,58,88,55,,69,67,50
George Morrison,ARIZONA,LG,71,55,89,67,,57,67,63
Nigel Pemberton,ARIZONA,RT,71,59,85,73,,75,73,57
Victory Johnson,ARIZONA,LEDG,71,78,80,79,,86,82,74
Will Springs,ARIZONA,WILL,71,79,76,82,,88,85,76
Zuri Watson,ARIZONA,CB,71,86,67,86,,90,85,86
Gavin Hunter,ARIZONA,SS,70,87,72,86,,90,82,86
Henry Gabalis,ARIZONA,TE,70,78,74,76,,80,65,74
Jabari Mann,ARIZONA,SAM,70,81,69,83,,86,86,78
Javian God,ARIZONA,LG,70,69,82,60,,75,67,57
Julian Savainaea,ARIZONA,DT,70,62,76,63,,66,66,51
Sawyer Anderson,ARIZONA,QB,70,83,53,84,,87,82,83
Shane King,ARIZONA,TE,70,82,63,83,,85,86,79
Timmy Franklin,ARIZONA,QB,70,80,52,84,,88,80,87
Wesley Taylor-Grimes,ARIZONA,LT,70,61,82,74,,77,73,60
Hannibal Navies Ii,ARIZONA,FS,69,85,62,83,,84,90,83
Keytrin Harris,ARIZONA,DT,69,81,79,83,,81,79,69
Prince Williams,ARIZONA,REDG,69,79,75,78,,85,79,73
Tyler Powell,ARIZONA,TE,69,75,73,76,,84,82,71
Brandon Phelps,ARIZONA,WR,68,86,66,82,,90,86,79
Jake Klein,ARIZONA,QB,68,74,65,76,,80,73,75
Louis Akpa,ARIZONA,LT,68,68,75,65,,71,73,56
Tavarius Burke,ARIZONA,LT,68,62,85,76,,78,74,58
Will Seidman,ARIZONA,C,68,56,87,68,,66,66,50
Cam Tucker,ARIZONA,LEDG,67,72,82,74,,80,77,68
Carter Jones,ARIZONA,MIKE,67,78,73,75,,82,79,74
Steven Owens,ARIZONA,REDG,67,78,70,78,,87,83,78
C.J. Fite,ARIZONA STATE,DT,88,69,89,66,,79,67,57
Owen Long,ARIZONA STATE,MIKE,88,82,80,81,,85,84,80
Ashton Stamps,ARIZONA STATE,CB,87,92,65,93,,94,92,90
Omarion Miller,ARIZONA STATE,WR,87,92,74,88,,91,92,87
Reed Harris,ARIZONA STATE,WR,87,89,77,86,,90,89,82
Adrian Wilson,ARIZONA STATE,FS,85,87,79,87,,92,88,84
Emar'Rion Winston,ARIZONA STATE,LEDG,82,82,77,83,,89,80,67
Jalen Thompson,ARIZONA STATE,REDG,81,81,80,78,,87,80,73
Kyson Brown,ARIZONA STATE,HB,81,91,75,86,,93,82,86
Clayton Smith,ARIZONA STATE,REDG,80,83,78,82,,89,89,74
Jessiah Mcgrew,ARIZONA STATE,FS,80,89,60,88,,91,89,86
Maki Stewart,ARIZONA STATE,LG,80,55,91,51,,66,57,48
Zac Swanson,ARIZONA STATE,DT,80,71,86,73,,83,78,65
Jason Reynolds,ARIZONA STATE,P,79,70,53,66,,67,81,66
Luke Baklenko,ARIZONA STATE,RT,79,66,89,66,,71,72,58
Lyrik Rawls,ARIZONA STATE,SS,79,87,74,84,,90,87,84
Raiden Vines-Bright,ARIZONA STATE,WR,79,91,66,91,,92,91,88
Cutter Boley,ARIZONA STATE,QB,78,79,65,78,,82,85,77
Demarius Robinson,ARIZONA STATE,HB,78,89,57,91,,93,88,89
Derek Eusebio,ARIZONA STATE,WR,78,87,59,87,,90,83,86
Jason Brown Jr.,ARIZONA STATE,HB,78,88,73,84,,92,82,85
Mikey Keene,ARIZONA STATE,QB,78,80,64,81,,84,76,80
Rodney Bimage Jr.,ARIZONA STATE,CB,78,89,63,87,,91,88,86
Roman Pitre,ARIZONA STATE,LEDG,78,78,79,77,,83,81,68
Blazen Lono-Wdong,ARIZONA STATE,DT,77,68,83,66,,78,77,53
Jalen Moss,ARIZONA STATE,WR,77,90,54,88,,91,87,85
Joseph Smith,ARIZONA STATE,CB,77,90,59,88,,90,87,88
Nick Mclarty,ARIZONA STATE,P,77,55,51,56,,62,57,46
Aj Ia,ARIZONA STATE,TE,76,77,75,79,,82,87,73
Chance Rucker,ARIZONA STATE,CB,76,90,57,88,,92,91,86
Cory Butler Jr.,ARIZONA STATE,WR,76,90,52,92,,94,89,90
Khamari Anderson,ARIZONA STATE,TE,76,79,77,81,,87,88,77
David Avit,ARIZONA STATE,HB,75,87,75,84,,89,82,80
Grayson Rigdon,ARIZONA STATE,HB,75,88,62,89,,91,87,87
Jaren Hamilton,ARIZONA STATE,WR,75,93,72,89,,93,94,87
Martell Hughes,ARIZONA STATE,WILL,75,87,67,85,,91,84,81
Caleb Chester,ARIZONA STATE,CB,74,88,47,87,,90,89,85
Jake Fette,ARIZONA STATE,QB,74,85,65,87,,87,90,86
Montana Warren,ARIZONA STATE,SS,74,89,67,88,,92,89,87
My'Keil Gardner,ARIZONA STATE,DT,74,63,85,62,,75,73,53
Rashad Mckenzie,ARIZONA STATE,DT,74,65,84,61,,73,75,47
Rishard O'Neal,ARIZONA STATE,K,74,69,49,64,,70,72,64
Tana Alo-Tupuola,ARIZONA STATE,C,74,58,89,57,,67,60,50
Zyrus Fiaseu,ARIZONA STATE,WILL,74,79,75,78,,85,82,77
Wade Helton,ARIZONA STATE,RG,73,68,83,72,,75,77,58
Antoine Belgrave-Shorter,ARIZONA STATE,SS,72,90,56,85,,89,89,83
Cardae Mack,ARIZONA STATE,HB,72,91,74,86,,90,84,83
Jalen Klemm,ARIZONA STATE,LT,72,66,83,71,,79,79,50
Jonathan Starling,ARIZONA STATE,LG,72,59,86,69,,70,71,51
Julian Hugo,ARIZONA STATE,REDG,72,79,76,76,,80,79,72
Kyan Mcdonald,ARIZONA STATE,FS,72,88,64,85,,89,88,82
Marquis Gillis,ARIZONA STATE,HB,72,85,63,84,,88,83,84
Brett Allman,ARIZONA STATE,LG,71,56,89,67,,58,68,50
Edward Madd0X,ARIZONA STATE,C,71,60,85,73,,75,73,51
Marques Uini,ARIZONA STATE,C,71,64,84,64,,73,72,51
Anthony Miller,ARIZONA STATE,TE,70,72,79,72,,76,70,64
Baker Tucker,ARIZONA STATE,K,70,69,52,62,,65,70,59
Cliff Huffman,ARIZONA STATE,WILL,70,81,75,84,,89,85,79
Manamo'Ui Muti,ARIZONA STATE,RG,70,55,88,51,,65,68,50
Rob Lapuahd,ARIZONA STATE,RG,70,61,85,53,,69,65,49
Siosaia Lapuahd,ARIZONA STATE,RT,70,68,74,73,,75,65,68
Zeth Thues,ARIZONA STATE,FS,70,85,55,85,,87,86,84
Champ Westbrooks,ARIZONA STATE,LT,69,70,76,74,,82,78,56
Dean Lacy,ARIZONA STATE,LEDG,69,72,83,75,,80,76,68
Dom Parks,ARIZONA STATE,LT,69,62,84,75,,80,74,60
Plas Johnson,ARIZONA STATE,WR,69,87,72,85,,89,82,86
Terrell Kim,ARIZONA STATE,LG,69,53,90,49,,65,64,46
